,index,id,product_id,customer_id,transaction_date,online_order,order_status
0,0,1,2,2950,2017-02-25,False,Approved
1,1,2,3,3120,2017-05-21,True,Approved
2,2,3,37,402,2017-10-16,False,Approved
3,3,4,88,3135,2017-08-31,False,Approved
4,4,5,78,787,2017-10-01,True,Approved
5,5,6,25,2339,2017-03-08,True,Approved
6,6,7,22,1542,2017-04-21,True,Approved
7,7,8,15,2459,2017-07-15,False,Approved
8,8,9,67,1305,2017-08-10,False,Approved
9,9,10,12,3262,2017-08-30,True,Approved
10,10,11,5,1986,2017-01-17,False,Approved
11,11,12,61,2783,2017-01-05,True,Approved
12,12,13,35,1243,2017-02-26,True,Approved
13,13,14,16,2717,2017-09-10,False,Approved
14,14,15,12,247,2017-06-11,False,Approved
15,15,16,3,2961,2017-10-10,False,Approved
16,16,17,79,2426,2017-04-03,False,Approved
17,17,18,33,1842,2017-06-02,False,Approved
18,18,19,54,2268,2017-04-06,True,Approved
19,19,20,25,3002,2017-01-28,True,Approved
20,20,21,27,1582,2017-10-09,False,Approved
21,21,22,37,595,2017-06-29,True,Approved
22,22,23,37,2001,2017-04-08,True,Approved
23,23,24,82,515,2017-10-18,False,Approved
24,24,25,89,2822,2017-06-11,False,Approved
25,25,26,64,2596,2017-01-10,False,Approved
26,26,27,64,2666,2017-04-11,True,Approved
27,27,28,19,76,2017-12-23,False,Approved
28,28,29,72,3368,2017-10-13,True,Approved
29,29,30,91,1173,2017-03-15,False,Approved
30,30,31,88,2810,2017-09-05,True,Approved
31,31,32,1,3214,2017-02-18,False,Approved
32,32,33,25,1272,2017-03-20,False,Approved
33,33,34,99,2003,2017-02-28,True,Approved
34,34,35,0,2171,2017-08-20,False,Approved
35,35,36,92,3356,2017-07-07,False,Approved
36,36,37,14,1040,2017-01-09,False,Approved
37,37,38,2,2916,2017-12-06,False,Approved
38,38,39,12,427,2017-09-12,False,Approved
39,39,40,0,2448,2017-11-28,True,Approved
40,40,41,44,2570,2017-05-08,True,Approved
41,41,42,79,3398,2017-05-14,False,Approved
42,42,43,76,488,2017-03-17,False,Cancelled
43,43,44,46,165,2017-12-22,False,Approved
44,44,45,55,2787,2017-06-07,True,Approved
45,45,46,66,3053,2017-06-20,False,Approved
46,46,47,35,475,2017-05-07,True,Approved
47,47,48,81,1305,2017-06-10,True,Approved
48,48,49,86,1251,2017-06-17,False,Approved
49,49,50,32,3103,2017-05-10,False,Approved
50,50,51,77,3108,2017-03-24,False,Approved
51,51,52,96,857,2017-11-27,False,Approved
52,52,53,6,3455,2017-12-21,True,Approved
53,53,54,27,2549,2017-02-09,True,Approved
54,54,55,0,3140,2017-09-18,False,Approved
55,55,56,47,3406,2017-11-14,False,Approved
56,56,57,94,2294,2017-08-30,True,Approved
57,57,58,91,1031,2017-11-14,False,Approved
58,58,59,93,993,2017-02-15,True,Approved
59,59,60,60,3473,2017-12-18,False,Approved
60,60,61,0,1839,2017-02-24,False,Approved
61,61,62,33,1824,2017-12-18,True,Approved
62,62,63,35,368,2017-12-17,False,Approved
63,63,64,0,2000,2017-07-08,False,Approved
64,64,65,28,825,2017-05-16,True,Approved
65,65,66,86,3315,2017-02-23,True,Approved
66,66,67,2,75,2017-07-03,True,Approved
67,67,68,4,1498,2017-09-30,True,Approved
68,68,69,38,1612,2017-10-21,True,Approved
69,69,70,27,2192,2017-05-06,True,Approved
70,70,71,54,419,2017-01-03,False,Approved
71,71,72,77,3307,2017-05-09,True,Approved
72,72,73,22,2430,2017-07-23,False,Approved
73,73,74,56,1506,2017-01-21,True,Approved
74,74,75,58,1346,2017-06-20,False,Approved
75,75,76,22,927,2017-03-10,False,Approved
76,76,77,50,763,2017-06-02,False,Approved
77,77,78,80,2397,2017-11-07,False,Approved
78,78,79,87,102,2017-09-12,True,Approved
79,79,80,15,2884,2017-12-16,False,Approved
80,80,81,84,759,2017-10-07,True,Approved
